handle,title,body_html,option1_name,option1_value,option2_name,option2_value,option3_name,option3_value,variant_sku,weight,variant_price,variant_compare_at_price,image_src
md-pig-v10-doormat,"MD Pig V10 Doormat","<ul><li><strong>Size:</strong><ul><li>Small: 25"" x 15""</li><li>Medium: 30"" x 18""</li><li>Large: 35"" x 21""</li></ul></li><li><strong>Great for any decor</strong>, adds texture to the floor and complements any decor.</li><li><strong>Durable and resistant to soiling, stain, and fading</strong>.</li><li><strong>Feels soft under your foot</strong> and vivid colors won't fade over time. Your doormat will instantly add fashion to any room's decor. It features trendy colors as well as its design.</li><li><strong>Beautiful, blended colors along with clean, easy-to-match designs</strong> make your doormat perfect for any room, home or office.</li><li><strong>Enhanced soft pile</strong> keeps dirt out and keeps your doormat looking great for years. Easy to clean.</li><li>Made with 100% Polypropylene.</li></ul>
<ul><li><strong>W</strong><strong>e use DHL Shipping </strong>to ship your order!<ul><li><strong>Production Time:</strong> 7 - 10 days. Your doormat is made-to-order only for you so the production time will be a little bit longer than usual. Please be patient!</li><li><strong>Processing Time:</strong> 1 - 2 days. We need to ship your made-to-order doormat to our warehouse, put your name and address on it and ship it to <strong>DHL</strong>.</li><li><strong>Shipping Time:</strong> 8 - 12 days via <strong>DHL Shipping.</strong><br></li></ul></li><li><ul><li><strong>M</strong><strong>ade with so much love.</strong><br></li></ul></li></ul>",Size,Small,,,,,JA13329,4.0,29.99,49.99,https://storage.googleapis.com/fulfill/spaces/8f4b38d0-641f-47e3-a1ba-42f5f4facbed/2020/01/13/8f99f3e0-4781-4189-98b3-f0cff0fbed40.jpeg
md-pig-v10-doormat,,,,Medium,,,,,JA13329,4.0,39.99,69.99,
md-pig-v10-doormat,,,,Large,,,,,JA13329,4.0,49.99,89.99,
md-pig-v11-doormat,"MD Pig V11 Doormat","<ul><li><strong>Size:</strong><ul><li>Small: 25"" x 15""</li><li>Medium: 30"" x 18""</li><li>Large: 35"" x 21""</li></ul></li><li><strong>Great for any decor</strong>, adds texture to the floor and complements any decor.</li><li><strong>Durable and resistant to soiling, stain, and fading</strong>.</li><li><strong>Feels soft under your foot</strong> and vivid colors won't fade over time. Your doormat will instantly add fashion to any room's decor. It features trendy colors as well as its design.</li><li><strong>Beautiful, blended colors along with clean, easy-to-match designs</strong> make your doormat perfect for any room, home or office.</li><li><strong>Enhanced soft pile</strong> keeps dirt out and keeps your doormat looking great for years. Easy to clean.</li><li>Made with 100% Polypropylene.</li></ul>
<ul><li><strong>W</strong><strong>e use DHL Shipping </strong>to ship your order!<ul><li><strong>Production Time:</strong> 7 - 10 days. Your doormat is made-to-order only for you so the production time will be a little bit longer than usual. Please be patient!</li><li><strong>Processing Time:</strong> 1 - 2 days. We need to ship your made-to-order doormat to our warehouse, put your name and address on it and ship it to <strong>DHL</strong>.</li><li><strong>Shipping Time:</strong> 8 - 12 days via <strong>DHL Shipping.</strong><br></li></ul></li><li><ul><li><strong>M</strong><strong>ade with so much love.</strong><br></li></ul></li></ul>",Size,Small,,,,,JA13330,4.0,29.99,49.99,https://storage.googleapis.com/fulfill/spaces/8f4b38d0-641f-47e3-a1ba-42f5f4facbed/2020/01/13/8f99f3e0-967d-490b-9d92-e477ed9aaca4.jpeg
md-pig-v11-doormat,,,,Medium,,,,,JA13330,4.0,39.99,69.99,
md-pig-v11-doormat,,,,Large,,,,,JA13330,4.0,49.99,89.99,
md-pig-v12-doormat,"MD Pig V12 Doormat","<ul><li><strong>Size:</strong><ul><li>Small: 25"" x 15""</li><li>Medium: 30"" x 18""</li><li>Large: 35"" x 21""</li></ul></li><li><strong>Great for any decor</strong>, adds texture to the floor and complements any decor.</li><li><strong>Durable and resistant to soiling, stain, and fading</strong>.</li><li><strong>Feels soft under your foot</strong> and vivid colors won't fade over time. Your doormat will instantly add fashion to any room's decor. It features trendy colors as well as its design.</li><li><strong>Beautiful, blended colors along with clean, easy-to-match designs</strong> make your doormat perfect for any room, home or office.</li><li><strong>Enhanced soft pile</strong> keeps dirt out and keeps your doormat looking great for years. Easy to clean.</li><li>Made with 100% Polypropylene.</li></ul>
<ul><li><strong>W</strong><strong>e use DHL Shipping </strong>to ship your order!<ul><li><strong>Production Time:</strong> 7 - 10 days. Your doormat is made-to-order only for you so the production time will be a little bit longer than usual. Please be patient!</li><li><strong>Processing Time:</strong> 1 - 2 days. We need to ship your made-to-order doormat to our warehouse, put your name and address on it and ship it to <strong>DHL</strong>.</li><li><strong>Shipping Time:</strong> 8 - 12 days via <strong>DHL Shipping.</strong><br></li></ul></li><li><ul><li><strong>M</strong><strong>ade with so much love.</strong><br></li></ul></li></ul>",Size,Small,,,,,JA13331,4.0,29.99,49.99,https://storage.googleapis.com/fulfill/spaces/8f4b38d0-641f-47e3-a1ba-42f5f4facbed/2020/01/13/8f99f3e0-ea8d-47af-af20-e1e4578f6137.jpeg
md-pig-v12-doormat,,,,Medium,,,,,JA13331,4.0,39.99,69.99,
md-pig-v12-doormat,,,,Large,,,,,JA13331,4.0,49.99,89.99,
tiger-zla-v1-rug,"Tiger Zla V1 Rug","<ul><li><strong>Size:</strong><ul><li>Small: 5' x 3'</li><li>Medium: 6' x 4'</li><li>Large: 8' x 5'</li><li>X-Large: 9' x 6'</li></ul></li><li><strong>Great for any decor</strong>, adds texture to the floor and complements any decor.</li><li><strong>Durable and resistant to soiling, stain, and fading</strong>.</li><li><strong>Feels soft under your foot</strong> and vivid colors won't fade over time. Your rug will instantly add fashion to any room's decor. It features trendy colors as well as its design.</li><li><strong>Beautiful, blended colors along with clean, easy-to-match designs</strong> make your rug perfect for any room, home or office.</li><li><strong>The enhanced soft pile</strong> keeps dirt out and keeps your rug looking great for years. Easy to clean.</li><li>Made with 100% Polypropylene.</li><li><strong>Shape:</strong> Rectangle.</li></ul>
<ul><li><strong>W</strong><strong>e use DHL Shipping </strong>to ship your order!<ul><li><strong>Production Time:</strong> 7 - 10 days. Your rug is made-to-order only for you so the production time will be a little bit longer than usual. Please be patient!</li><li><strong>Processing Time:</strong> 1 - 2 days. We need to ship your made-to-order rug to our warehouse, put your name and address on it and ship it to <strong>DHL</strong>.</li><li><strong>Shipping Time:</strong> 8 - 12 days via <strong>DHL Shipping.</strong><br></li><li><strong>Shipping Cost:</strong><ul><li>DHL Shipping: $10<br></li><li>DHL Express Shipping: $15<br></li></ul></li></ul></li><li><strong>M</strong><strong>ade with so much love.</strong></li></ul>",Size,Small,,,,,JA13335,4.0,49.99,99.99,https://storage.googleapis.com/fulfill/spaces/8f4b38d0-641f-47e3-a1ba-42f5f4facbed/2020/01/13/8f99f3e1-4538-4bdf-b91c-50587bbf36f4.jpeg
